Date,World Equities,US Treasuries,High Yield ,Inflation Protection,Currency Protection,Regime-5,Regime-7,US Equities,Real Estate,Commodities,Corp Bonds
3-Jan,-0.024057,-0.010608,0.033287,0.010654,-0.001267,1,1,-0.021398,-0.032176,0.081421,0.004556
3-Feb,-0.024631,0.027453,0.012342,0.020213,-0.0039,1,1,-0.026968,0.022602,0.099802,0.022213
3-Mar,-0.019108,-0.006256,0.0312,-0.012083,-0.007922,1,1,0.029213,0.039013,-0.139183,0.000774
3-Apr,0.093187,0.010085,0.056982,-0.007576,-0.032825,1,1,0.069869,0.033467,-0.039819,0.022002
3-May,0.075782,0.05755,0.010178,0.018824,-0.005115,1,1,0.065306,0.05974,0.119641,0.034151
3-Jun,0.006538,-0.016561,0.028746,-0.002941,0.00981,1,1,0.018199,0.029406,-0.017773,-0.004002
3-Jul,0.019391,-0.089361,-0.015255,-0.00408,0.011502,1,1,0.005958,0.036524,0.041774,-0.043139
3-Aug,0.044851,0.01583,0.015889,0.012778,-0.010555,1,1,0.034913,0.011605,0.003567,0.006764
3-Sep,0.035317,0.051985,0.031137,0.002846,-0.020519,1,1,0.010542,0.040561,-0.038174,0.039005
3-Oct,0.042673,-0.032969,0.016435,0.020843,-0.001061,1,1,0.047988,0.026347,0.00693,-0.011681
3-Nov,0.037818,0.010536,0.0164,0.002452,-0.013591,1,1,0.016496,0.044195,0.042884,0.002613
3-Dec,0.0616,0.010734,0.021396,-0.002014,-0.015912,1,1,0.033016,0.021418,0.057438,0.015134
4-Jan,0.017141,0.012318,0.019091,0.003022,0.003898,1,1,0.02519,0.056922,0.028905,0.011267
4-Feb,0.03487,0.026011,-0.00056,0.011277,0.010151,1,1,0.022193,0.021017,0.064473,0.013146
4-Mar,0.003561,0.015527,0.005148,0.009389,0.007079,1,1,-0.014991,0.052105,-0.014574,0.007152
4-Apr,-0.03555,-0.060093,-0.007124,-0.019588,0.015772,1,1,-0.018368,-0.147349,0.067106,-0.030634
4-May,0.000859,-0.00131,-0.016757,0.023735,-0.009032,1,1,0.005881,0.043553,0.0754,-0.010585
